date,media_buyer,region,team,ad_spend_usd,result_count,lead_count,platform,cost_per_lead,cost_per_result
2025-06-07,MY,IN,ZZ,2044.81,357.0,148.0,,13.81628378,13.81628378
2025-06-07,WD,DE,ZZ,237.79,11.0,0.0,,,
2025-06-07,SG,IN,ZZ,1552.92,377.0,170.0,,9.134823529,9.134823529
2025-06-07,YK,DE,ZZ,224.75,10.0,2.0,,112.375,112.375
2025-06-08,HW,IN,ZZ,857.06,180.0,87.0,,9.851264368,9.851264368
2025-06-08,WD,DE,ZZ,234.71,7.0,0.0,,,
2025-06-08,HY,IN,ZZ,6498.43,1098.0,387.0,,16.79180879,16.79180879
2025-06-08,XW,奥地利,UNKNOWN,114.68,2.0,2.0,,57.34,57.34
2025-06-08,ZJ,DE,ZZ,49.89,2.0,0.0,,,
2025-06-08,LYD,奥地利,ZZ,340.18,7.0,2.0,,170.09,170.09
2025-06-08,LYD,DE,ZZ,52.4,0.0,0.0,,,
2025-06-08,YK,DE,ZZ,262.7,13.0,1.0,,262.7,262.7
2025-06-08,YK,奥地利,ZZ,204.51,4.0,0.0,,,
2025-06-09,SG,IN,ZZ,12617.2,2487.0,936.0,,13.47991453,13.47991453
2025-06-09,MY,IN,ZZ,2971.12,515.0,164.0,,18.11658537,18.11658537
2025-06-09,HW,IN,ZZ,10004.34,1656.0,786.0,,12.72816794,12.72816794
2025-06-09,YJ,IN,ZZ,9008.6,1998.0,510.0,,17.66392157,17.66392157
2025-06-09,HY,IN,ZZ,11354.04,1978.0,713.0,,15.92431978,15.92431978
2025-06-09,WD,DE,ZZ,70.02,3.0,0.0,,,
2025-06-09,WD,奥地利,ZZ,298.36,9.0,2.0,,149.18,149.18
2025-06-09,YK,DE,ZZ,405.58,18.0,3.0,,135.1933333,135.1933333
2025-06-09,XW,奥地利,UNKNOWN,65.59,2.0,1.0,,65.59,65.59
2025-06-09,LYD,奥地利,ZZ,327.9,8.0,1.0,,327.9,327.9
2025-06-09,ZJ,奥地利,ZZ,250.73,7.0,2.0,,125.365,125.365
2025-06-09,ZJ,DE,ZZ,121.34,4.0,0.0,,,
2025-06-10,YJ,IN,ZZ,5392.77,1280.0,375.0,,14.38072,14.38072
2025-06-10,HW,IN,ZZ,9578.88,1523.0,741.0,,12.92696356,12.92696356
2025-06-10,HY,IN,ZZ,3464.92,861.0,271.0,,12.78568266,12.78568266
2025-06-10,MY,IN,ZZ,6861.03,1211.0,374.0,,18.345,18.345
2025-06-10,SG,IN,ZZ,15000.0,2637.0,1058.0,,14.17769376,14.17769376
2025-06-10,WD,奥地利,ZZ,350.08,10.0,0.0,,,
2025-06-10,YK,奥地利,ZZ,208.26,10.0,3.0,,69.42,69.42
2025-06-10,LYD,奥地利,ZZ,276.56,3.0,0.0,,,
2025-06-10,ZJ,奥地利,ZZ,51.53,2.0,0.0,,,
2025-06-11,SG,IN,ZZ,4707.86,1087.0,292.0,,16.12280822,16.12280822
2025-06-11,YJ,IN,ZZ,2587.2,565.0,145.0,,17.84275862,17.84275862
2025-06-11,HW,IN,ZZ,4926.91,820.0,264.0,,18.66253788,18.66253788
2025-06-11,HY,IN,ZZ,2098.93,574.0,153.0,,13.71849673,13.71849673
2025-06-11,MY,IN,ZZ,3748.3,493.0,77.0,,48.67922078,48.67922078
2025-06-11,WD,奥地利,ZZ,127.84,6.0,2.0,,63.92,63.92
2025-06-11,LYD,奥地利,ZZ,109.08,0.0,0.0,,,
2025-06-11,YK,奥地利,ZZ,382.96,18.0,5.0,,76.592,76.592
2025-06-11,ZJ,奥地利,ZZ,331.26,9.0,2.0,,165.63,165.63
2025-06-12,SG,IN,ZZ,6062.63,1198.0,481.0,,12.60422037,12.60422037
2025-06-12,YJ,IN,ZZ,3321.1,760.0,175.0,,18.97771429,18.97771429
2025-06-12,HY,IN,ZZ,4228.35,997.0,294.0,,14.38214286,14.38214286
2025-06-12,HW,IN,ZZ,1919.04,272.0,130.0,,14.76184615,14.76184615
2025-06-12,YK,奥地利,ZZ,175.44,6.0,0.0,,,
