日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,付款截图,Unnamed: 17
2025-12-15,YK,Matepro-ADA+7-QQB-780  761447176886570,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-15,YK,SONZDD-ADA+7-GX-361  226474562977689,10,-5.58,5.81888,,已结算12/17,总充值10,1.0,,,,,,,,
2025-12-15,YK,SONZDD-ADA+7-GX-362  253183416920600,10,0,0,,已结算12/17,总充值10,1.0,,,,,,,,
2025-12-15,YK,Matepro-ADA+7-QQB-779  2028478607916752,10,0,0,,已结算12/18,总充值10,0.7,,,,,,,,
2025-12-15,YK,Matepro-ADA+7-QQB-780  761447176886570,10,0,0,,已结算12/17,总充值10,0.7,,,,,,,,
2025-12-16,YK,Matepro-ADA+7-QQB-780  761447176886570,100,-90.11,91.82,,已结算12/17,总充值110,7.0,"M清零 0.16
SON/GO：(405.57-100)*1.1-开户费150-开户费60=126.13
MA：(-354.63-200+0.16)*1.07-开户费350-开户费100=-1043.28
备用金126.13-1043.28=-917.15",,,,,,,
2025-12-16,YK,SONZDD-ADA+7-GX-362  253183416920600,100,-85.73,87.93368,,已结算12/17,总充值110,10.0,,,,,,,,
2025-12-16,YK,Matepro-ADA+7-QQB-779  2028478607916752,100,0,0,,已结算12/18,总充值110,7.0,,,,,,,,
2025-12-16,YK,Matepro-ADA+7-QQB-779  2028478607916752,100,0,0,,已结算12/18,总充值210,7.0,"SON清零91.31、M清零90.11
SON 91.31*1.1+(90.11-1430)*1.07-150=-1483.24",,,,,,,
2025-12-17,YK,Matepro-ADA+7-QQB-779  2028478607916752,100,0,0,,已结算12/18,总充值310,7.0,,,,,,,,
2025-12-17,YK,Matepro-ADA+7-QQB-779  2028478607916752,200,-214.94,226.63,,已结算12/18,总充值510,14.0,,,,,,,,
2025-12-17,YK,Matepro-ADA-7-QQB-836  695164559591987,开户费,,停用,,,,50.0,,,,,,,,
2025-12-17,YK,Matepro-ADA+7-QQB-837  813947034379674,开户费,,停用,,,,50.0,,,,,,,,
2025-12-17,LD,Matepro-ADA-7+QQB-838  1418995982643164,开户费,,,,,,50.0,,,,,,,,
2025-12-17,YK,Matepro-ADA-7-QQB-836  695164559591987,10,0,0,,,总充值10,0.7,,,,,,,,
2025-12-17,YK,Matepro-ADA+7-QQB-837  813947034379674,10,0,0,,,总充值10,0.7,,,,,,,,
2025-12-17,LD,Matepro-ADA-7+QQB-838  1418995982643164,10,,,,,总充值10,0.7,,,,,,,,
2025-12-17,YJ,Matepro-ADA+7-QQB-197  2505434869822556,500,,,,,总充值1100,35.0,,,,,,,,
2025-12-17,YJ,Matepro-ADA+8-QQB-731  1170635514911007,500,,,,,总充值610,35.0,,,,,,,,
2025-12-18,YK,Matepro-ADA-7-QQB-836  695164559591987,100,,101.51,,,总充值110,7.0,,,,,,,,
2025-12-18,YK,Matepro-ADA+7-QQB-837  813947034379674,100,,84.71,,,总充值110,7.0,,,,,,,,
2025-12-18,YK,Matepro-ADA+7-QQB-867  1810155726580530,开户费,,,,,,50.0,,,,,,,,
2025-12-18,YK,Matepro-ADA+7-QQB-868  1067338338873905,开户费,,,,,,50.0,,,,,,,,
2025-12-18,YK,Matepro-ADA+7-QQB-867  1810155726580530,10,,,,,总充值10,0.7,,,,,,,,
2025-12-18,YK,Matepro-ADA+7-QQB-868  1067338338873905,10,,,,,总充值10,0.7,,,,,,,,
2025-12-18,LD,Jokepro-ADA+7-QQB-03  4166924866904260,100,,,,,总充值110,7.0,,总计,0,,0.0,,,
2025-12-18,JK,SONZDD-ADA+7-GX-346  663517608156247,300,,,,,总充值410,30.0,,,,,,,,
2025-12-19,YK,Matepro-ADA+7-QQB-868  1067338338873905,100,,,,,总充值110,7.0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,GO,20+9+1,,,,,,,,,,,,,
,,,Matepro,50+6+1,,,,,,,,,,,,,
,,,GO、SON、GT,-85.06,-93.566,-140.266,,,,,,,,,,,
,,,Matepro、JO,190,-46.7,,,,,,,,,,,,
