日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-11-11 00:00:00,瑞典,MM,BON-XANY-VND-0801-18  1430146614837022,越南盾,海总-黑泽,285.84056,121.80728,,14.89422182,164.03328,178.9275018,
2025-11-11 00:00:00,瑞典,MM,SGGS(+8)-1106-20  1886488136085833,国内三不限,泰华&启航,44.46,,,5.838181818,44.46,50.29818182,
2025-11-11 00:00:00,马来西亚,LM,SGGS(+8)-1106-19  1191547432840881,国内三不限,泰华&启航,44.11,,,5.792222222,44.11,49.90222222,
2025-11-11 00:00:00,印尼,YJ,SP-A2674-USD(+7)-004  3155193424645463,美金户,路人互动-海总（50-7）山治,36.97,,,2.5879,36.97,39.5579,
2025-11-11 00:00:00,瑞典,JK,Tencent IS Pte.Ltd +8 -088  377081334931199,美金户,B哥-fb三不限10➕1,328.4,110.46,,23.9734,217.94,241.9134,
2025-11-11 00:00:00,印尼,LM,BR-USD-1700107-080802-(GMT+5:30)  2258300644509766,美金户,泰华&启航,,18183.03,历史消耗,,,,
2025-11-11 00:00:00,印尼,LM,BR-USD-1700107-080802-(GMT+5:30)  2258300644509766,美金户,泰华&启航,18238.22,18183.03,,6.132222222,55.19,61.32222222,
2025-11-11 00:00:00,印尼,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,65.87,,,7.2457,65.87,73.1157,
2025-11-11 00:00:00,印尼,XH, LTK-8239-USD(+7)-155  2035803437160939 ,美金户,路人互动-海总（50-7）山治,7.27,,,0.5089,7.27,7.7789,
2025-11-11 00:00:00,印尼,MM,SGGS(+8)-1106-20  1886488136085833,国内三不限,泰华&启航,35.38,,,4.645858586,35.38,40.02585859,
2025-11-11 00:00:00,印尼,LD,ES4.136 - Mark 829244  1224995106099741,美金户,GT&海总 欧洲金融户９＋１,69.87,,,6.987,69.87,76.857,
